                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1197,                0.53933,                0.87694,                0.93136,                0.92479,                0.95028,                0.64155,                 1.0803,                0.52095,                0.89051,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1016,                 0.5325,                0.87158,                0.93219,                0.89259,                 0.9497,                0.64795,                 1.0705,                0.50994,                0.88677,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1097,                0.53461,                0.87755,                0.90282,                0.92359,                0.95161,                0.63395,                 1.0751,                0.50673,                0.88712,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1105,                0.53165,                0.87485,                0.94821,                0.93141,                0.95933,                0.64967,                 1.0855,                0.50892,                0.89216,             0.00077975,             0.00077975,             0.00077975
                     40,                    1.1,                0.52681,                0.87718,                0.92278,                 0.9129,                0.94927,                0.63965,                 1.0717,                0.51093,                 0.8877,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1075,                0.52605,                0.87321,                0.92324,                 0.8907,                0.94273,                0.64089,                 1.0745,                 0.5004,                 0.8894,               0.000755,               0.000755,               0.000755
                     42,                 1.1037,                0.52485,                0.87403,                0.93411,                0.93322,                0.96578,                0.66447,                 1.0588,                0.49725,                0.88682,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0978,                0.52369,                0.87053,                0.93517,                0.90572,                0.95836,                0.64303,                 1.0722,                0.50902,                 0.8868,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0884,                0.51702,                0.87204,                0.91477,                0.92986,                0.96667,                0.65492,                 1.0593,                 0.4912,                0.88527,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0928,                 0.5173,                0.87106,                0.92624,                0.92959,                0.95293,                0.64416,                 1.0773,                0.49768,                0.88674,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0911,                0.52075,                0.87385,                0.93242,                0.91264,                0.96386,                0.65193,                   1.06,                0.49697,                0.88531,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0843,                0.51512,                0.87194,                0.90393,                0.95064,                0.96678,                 0.6583,                 1.0608,                0.49657,                0.88449,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0795,                0.51328,                0.87064,                0.93995,                0.91494,                0.97027,                0.65999,                 1.0547,                0.49304,                0.88395,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0792,                0.51156,                0.87073,                0.94045,                0.90677,                0.95763,                0.65781,                 1.0616,                0.49761,                0.88519,               0.000656,               0.000656,               0.000656
                     50,                 1.0821,                0.51207,                0.87066,                0.91485,                0.91965,                0.95912,                0.65175,                 1.0578,                0.49369,                0.88475,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0673,                 0.4976,                0.86516,                0.91053,                 0.9096,                0.95864,                 0.6585,                 1.0528,                 0.4916,                0.88416,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0527,                 0.5028,                0.87225,                0.91505,                0.93409,                0.96031,                0.64763,                 1.0545,                0.49167,                0.88483,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0664,                0.50295,                0.86998,                0.91054,                0.92942,                0.95794,                 0.6516,                 1.0588,                0.48657,                0.88792,              0.0006065,              0.0006065,              0.0006065
